Route,Date,Rating,Notes,Pitches,Location,Avg Stars,Your Stars,Style,Lead Style,Route Type,Your Rating,Length
Nutcracker,2019-04-27,5.9+,,1,California > San Diego County > South San Diego County > Mission Gorge > Main Wall,2.6,-1,TR,,Trad,,70
Gallwas Crack,2019-04-27,5.9+,,1,California > San Diego County > South San Diego County > Mission Gorge > Main Wall,2.8,3,Lead,Onsight,Trad,5.9,70
Unnamed,2019-04-25,5.10a/b V0,,1,California > San Diego County > South San Diego County > Santee Boulders > Synchronicity Area > The Moon Boulder,2.5,-1,Solo,,Boulder,,12
NE face (left),2019-04-25,V2,,1,California > San Diego County > South San Diego County > Santee Boulders > Synchronicity Area > The Moon Boulder,2.7,-1,Solo,,Boulder,,
Lieback Rock Dyno,2019-04-25,5.10a V1,,1,California > San Diego County > South San Diego County > Santee Boulders > Moby Dick Area > Lieback Rock,2.7,-1,Solo,,"Trad, Boulder",,
Vawter's Dihedral,2019-04-25,5.10a R,,1,California > San Diego County > South San Diego County > Mission Gorge > Limbo Area,2.1,-1,TR,,Trad,,40
Mission Gorge Traverse,2019-04-25,5.8,,1,California > San Diego County > South San Diego County > Mission Gorge > Main Wall,3.3,-1,Follow,,Trad,,100
Crack of Dust,2019-04-23,5.8,,1,California > San Diego County > South San Diego County > Mission Gorge > Main Wall,2.3,-1,Lead,Flash,Trad,,30
Shadowfax,2019-04-23,5.8,,1,California > San Diego County > South San Diego County > Mission Gorge > Middle Earth,2.6,-1,Lead,Flash,"Trad, TR",,40
Traitor Horn,2019-04-20,5.8,Coffin Nail to Traitor Horn link up,4,California > Tahquitz & Suicide Rocks > Tahquitz Rock > (g) West Face > West Face - Right Side,3.4,-1,Follow,,Trad,,400
Coffin Nail,2019-04-20,5.8,,2,California > Tahquitz & Suicide Rocks > Tahquitz Rock > (g) West Face > West Face - Right Side,3.5,-1,Follow,,Trad,,200
Dimrill Stair,2019-04-13,5.8,,1,California > San Diego County > South San Diego County > Mission Gorge > Middle Earth,2.4,-1,Lead,Onsight,Trad,,25
Sam I Am,2019-04-13,5.8,,1,California > San Diego County > South San Diego County > Mission Gorge > Middle Earth,2.2,-1,Lead,Onsight,Sport,,30
Top of the Pops,2019-04-07,5.7,,1,California > San Diego County > South San Diego County > Mission Gorge > Limbo Area,2.5,-1,Solo,,Trad,,30
Nameless to the right of Fools Gold,2019-02-23,5.8,,1,California > San Diego County > South San Diego County > Mission Gorge > Middle Earth,1.7,-1,Lead,Onsight,"Trad, TR",,30
As the Crow Flies,2019-01-04,5.7+,,1,California > San Diego County > South San Diego County > Mission Gorge > Limbo Area,2.7,-1,Lead,Flash,Sport,,45
History Book,2018-12-21,5.6,,1,California > San Diego County > South San Diego County > Mission Gorge > Limbo Area,2.4,-1,Lead,Onsight,Trad,,
Top of the Pops,2018-12-21,5.7,,1,California > San Diego County > South San Diego County > Mission Gorge > Limbo Area,2.5,-1,Lead,Onsight,Trad,,30
Beautiful,2018-12-21,5.5,,1,California > San Diego County > South San Diego County > Mission Gorge > Lunch Rock,1.9,-1,Lead,Onsight,Trad,,80
Skyline Arete,2018-12-21,5.7+,,1,California > San Diego County > South San Diego County > Mission Gorge > Lunch Rock,2.3,-1,Lead,Onsight,"Trad, Sport",,40
Craig's Crack,2018-12-21,5.8,,1,California > San Diego County > South San Diego County > Mission Gorge > Limbo Area,3.1,-1,Lead,Onsight,Trad,,35
The Tower,2018-12-02,5.7,,1,California > San Diego County > South San Diego County > Mission Gorge > Limbo Area,2.5,-1,Lead,Flash,"Sport, TR",,50
Unknown,2018-11-02,5.8,,1,California > San Diego County > North San Diego County > Mount Woodson > Out of Sight Boulder Area,3,-1,TR,,Trad,,50
Milkbar,2018-11-02,5.8,,1,California > San Diego County > North San Diego County > Mount Woodson > Milkbar Boulder,3,-1,Lead,Onsight,Trad,,35
Turkey Chute,2018-10-29,5.7,,1,California > San Diego County > South San Diego County > Mission Gorge > Limbo Area,2.6,-1,Lead,Flash,"Trad, TR",,45
Candy Man,2018-09-28,5.7,,1,California > Sierra Eastside > Lone Pine Area > Alabama Hills > Alabama Hills South > The Candy Store > Rock Candy Tower,1.9,-1,Lead,Onsight,Sport,,50
Almond Joy,2018-09-28,5.5,,1,California > Sierra Eastside > Lone Pine Area > Alabama Hills > Alabama Hills South > The Candy Store > Rock Candy Tower,2.2,-1,Lead,Onsight,Sport,,50
Turkey Chute,2018-09-22,5.7,,1,California > San Diego County > South San Diego County > Mission Gorge > Limbo Area,2.6,-1,Solo,,"Trad, TR",,45
Turkey Chute,2018-07-30,5.7,,1,California > San Diego County > South San Diego County > Mission Gorge > Limbo Area,2.6,-1,TR,,"Trad, TR",,45
Shadowfax,2018-07-04,5.8,,1,California > San Diego County > South San Diego County > Mission Gorge > Middle Earth,2.6,-1,TR,,"Trad, TR",,40
Mission Control,2018-06-25,5.8,,1,California > San Diego County > South San Diego County > Mission Gorge > Lunch Rock,2.5,-1,Lead,Onsight,Sport,,70
After Six,2018-06-06,5.7,,5,California > Yosemite National Park > Yosemite Valley > Valley North Side > C. El Cap Picnic Area (Eagle Creek) > 5. Manure Pile Buttress (aka Ranger Rock),2.9,-1,Follow,,Trad,,600
Easy Rider,2018-06-03,5.7,,1,California > San Diego County > South San Diego County > Mission Gorge > Middle Earth,2.1,-1,Lead,Onsight,"Sport, TR",,25
Knob Job,2018-06-03,5.8,,1,California > San Diego County > South San Diego County > Mission Gorge > Main Wall,2,-1,TR,,TR,,30
The Vector Traverse.,2018-03-01,V2+,,1,"California > San Diego County > North San Diego County > Melrose Boulders > Hill Top > El Corrádor, AKA The Corridor / Hill Top Area.",2.3,-1,Solo,,Boulder,,15
Señor Parié Traverse AKA Send Train.,2018-03-01,5.9- V0-,,1,California > San Diego County > North San Diego County > Melrose Boulders > South Side Boulder.,2,-1,Solo,,Boulder,,40
Get It Twisted,2018-03-01,V2,,1,California > San Diego County > North San Diego County > Melrose Boulders > South Side Boulder.,2,-1,Solo,,Boulder,,15
Turf Wars,2018-03-01,V1,,1,California > San Diego County > North San Diego County > Melrose Boulders > Hill Top > Hill Top area,2.2,-1,Solo,,Boulder,,8
